donor,usd_value,perc,ids
B4JFTAUITLGFNBSNXT2VTOZCRLFZMX3I7ERRDZCAYZP74NGHZ7565ZECZY,13.954596010811334,0.05505836309316067,7K7XC54TT3UV4Z5TBXKYOKPFKNZO2KKEPMAQ4E6575JKVKB5MUSQ
2HYTI5GAB3WAJL5MZKQYUHZHYQJBEUD54OQNFZNBCPZXFPVDZOSCGUNORU,13.789097185084307,0.05440538149259619,DCLH7YNJLZYLXJA4SD75BWFFD2XLYOHEAYMCSPOOZSJROVEVS5TQ,ZP5CTL5XICXRI4J7PJYHYDDBJARDAZM256HME3EBJU6ETIC6BEJA,SW7PCTXXSUXN5KBI5EL5BVD7YP63QTWPMSNYADSHCWVIS64MDPUQ
PTDHJDTOQQUMZPUVLRL27XERLKBGZPVS7ESS7VD7OFSKY7KH4PAE5ZHTVQ,12.922164869009128,0.05098486869532985,EZ3XGUPJQKEFGM2WNFMSAXE5K5N24S4SSNNPNXMOBKWNPBGSFJGA
64M5SOIWCRZFYYKSNADSSTVUMWRHERFWQPHAV5OVZDEN7KZ5QKNQOQ6T7Q,12.066129658347013,0.04760735082145879,YUOVEJRH4F3TYCJLBUJMSGMYITIHRSWIHYGKELPHQXSBYMSZYQFA
TIGER4VK5MHK2TIE2DLV5LQSJLZQROKY4H5VC3HXNTMDOPPMSPKKS4TK44,11.827117538625586,0.046664319861544734,CMCCXDPL7LOZYT7CU7EGYA677WH3PMH7FTHT7HAEIEQQRYD3D7QA,DGRVHFTC5PVPSLIA46O5XWXDUNRHMX5WTRWSDQHRO6GHOURCSBCQ
SW33H674DOOLJJE3AS77EM6BKM47JMR3TICLJ7I34T7UV4EZFNLUS743VU,11.414000267422747,0.045034350731638036,LTZ7SPXIQCU7UGGRVIAGTX5K36GZ47CGH3MMJ34KUROPWN6PGV6A
3ZOVEQE6EVPHJJTDYV56PGHNTO5PPSFAQ2PEWSMO3P2MFTFNWZFAABC6H4,11.145638817153701,0.0439755209269147,47D2SGMSPRC6UYWD36QQD5JNE3LSTSMFENLJCPOGR6OIZUWMWGNQ
FUDPZGQ33M7RHCQGNGF5AUY6SLBEAK3PHYFFXPBN2UWN4BB63LDJMWAIQI,10.71644062373513,0.042282103936995385,MV3BNK7LNSVDO3Z44S2EHDN66YJKMPBKVZWZJKOWTNHDJFK5OC2A
5URM4YO6WI2MQ66D3XRZXSKOBMEXDCSMBIUW2RVB2LYDPATKNIX4YVJOGY,10.569824703262704,0.04170362552182989,35DEXY7OB4WANPHYX26ZVUAH5KPHARC5HK3QLXAZ677UOENO5POA
KRTSBDBYVW3YX2EGI6YP3RCOFJXSQV6XFMTKVJZSG3QUAHBVYNM46PAHIM,10.190524276891162,0.04020708197586301,GEU4UUKA2ZRK5BCJGCBIAK36L6V4PBOU62JNZDJRKNKWQKZEYLXA
RYDOEMPIHEMTA27KJCVGAFPQJPAV2BJDM2NCOVF5HEXEEVISE2JEA3TPTM,9.895645027683257,0.03904362523666762,PCOFGCIP2ECNNISUMW62XVK2OSHDUHCK3LCKB5R4BWNZWI3FBADQ
SLASH6WN7MPCCMQ3PRNEU3JJ4J5WFBCX27U3QV4UIVYDPEQOWNHN37REZQ,8.912969295100812,0.03516644260483476,3A6IFFJH5IZVG54CETJAEFWQ2MASTT2Z7YL5AXVYO3WD7OXCJXGQ,RNHZJCNX3UAZBPT24Z3KYYQMVPYGP5WOUAOILJRDDWW7YRTDC43A,TELV26BXL3VVXRKPQLJFWADEQ2VLVDSL7HKYFMM77LZDJOTKWGZQ
JHYAWJDTEO4ES25H5XD4M3JVSPAVP7GL2R7RK2DIS5PKJNIY44FKTM63HI,7.924218811178088,0.0312652918219544,RWSNZHEFXI62A2VPQFUSSHULDJHSQFUFVK32LSMIP6OKQXXFGKDQ
E24CKCGHDMCL3XGOWBMJPLY3L27WMZA6H7HBRG74IUAFT23I3SIFIS7KJY,7.594938115296393,0.02996610293111321,FCCTWPJ47I6ZTRIWU6NNLOH3LN2XHIVD7XGTQT4ZKOZSMOSKZJZQ
CESUKTCKPQZQJ2ZOP5K6M6557S327ZNIWYSIGD7BMLAPFWDJDQWFCHZNMI,7.577109867997138,0.029895760936808492,KWFR7ZXSBTI63QJ77A44UCUG6H2JYINVBND5AKL3LM53EIDCTJNA
UMRT27ID5KV46TZMDXWRYQWEUUV7CMAJHEG6Q4QCVW2LGIREKULQNZTFFY,7.562181060997991,0.029836858789037975,HMWARKLSHB5IMK3OWAKXE6SRXTFS2DCZVO6CVRXNAERMEUEBCQNQ
P4SPR5M6T45XP3KVKP3XCLK55U2WXR3PGWA43IMXM6IZA5HDOBO4O4AB5A,6.59255183744666,0.026011151630287718,S3TYM3XHIVXRHAXKJJV7G7KPYFIA7CZHHNACVNNISZGJDNW5TADQ,ACFM2J57TUH2KH4ZSUF3F62HJUSXOZ3J4U3K3WUYKYDNNU55ECYQ
BSKX6GSPTSY2KKXBO5L367OBY5SJT6GD25FV3RY25VLOGCMORQ6COPCOXY,6.442349769066763,0.025418523938895075,FWLF4GTEQ5EV7GUGLHSH5SBWZMA7MZIAJYCRFRZICD56J5K2LUAA
R3HZ3BIEFNRIK37LNOOCBCKOFBFJXSESOYO7DCDVUAQUNFD4STNWFOKJMU,6.442349769066763,0.025418523938895075,H5HWUSXN2R2A4QN5OFUAMIICYX7HGJBE5H4RJTEBW3F2KR62LQJQ
5EH3H3YJDP5HUEIDP3MRK2DHE7FIII4XEH2YLMS4V7GIMHSYLTZCXOIXWI,6.213029750003515,0.0245137335125486,HFIDJN4LVCENWKLGPNLAK5ZXIPV65A4DCXEZZI3LTT24KARFWDIA
R3EORNT6425OPOY5GTPPXDSXN43IW7KROSXQYFYREEFOR6SLDJJ7GCFA44,6.179854305954126,0.024382838598583843,QDAVWN4R2TB3SMROSIZ3UPDTOTXWPKDIJHHQQMJ476DQOMTL6E3A
NSVWDITLQD2LG7GKJA5CO3OM54PLWF2ALB7YBW3645SZ2ZGYK6AP4ZGJ2I,6.007767598764345,0.023703864273521277,63BJZONC5WFH6CFMN5S46UX5AP5IIJDHZUQYFLKRY6WCGVNNCXTQ
HGOXKIOQDC2QBI4GYXA3RMYWJ4O26BIAUBAJ42O2R7USZRQ5ZSGW6YWPKM,5.707915328175591,0.022520786298666714,PS3V3L6HAG4M23MUBUNY2YJRT4HEAZFHUCFZCTFZYVEDRGIXENLA
MXSQS4VVGGQDVFDVCG2PKGYKMMJLT25SRTCZDMIQLZSSX53F3GQWRHYWTI,5.7005304489804125,0.022491648990799664,7LNKWVV7XFYMVPJ7FBISLKQEKGVLNDBNJNWQ743XSX44N2RQJXVQ,NU7MUWA6J2DJTZ5YOSJWO7IAF2AXCDR7UCVV6FGCOECLNNGI766Q,QILTGQSZNN7EIGYIGNHDNZ3YYUH3DSE2JYM4BMACUUE4GNNVT7EQ
FXZFVPZE7XT56RK6RRUXBQF6GHLMA2IIX3SHDKSKJGWSDK3FSQSX7F4XWQ,5.509910214488354,0.021739549963680858,EIZWLPKNWTG4J2KGC7OOYIEHZC4UKXQQF7YTW35GNN36P3HWNWFA,73CP25O6B6Q4KMPQ4CU6J5HZZ5KRH3IFZ2UZI5SKJKRBZ6IAPFGQ
